,predictions,actual,difference,Area,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
5883,11455000.0,14000000,2545000.0,652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2842,3845833.3,3400000,445833.3,300,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3037,27935000.0,31000000,3065000.0,1300,3,0,1,1,1,0,1,1,1,1,1,1,1,1,1
5890,11455000.0,12400000,945000.0,650,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5051,10665000.0,14500000,3835000.0,451,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
5052,26040000.0,32500000,6460000.0,1124,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
5106,11325000.0,9000000,2325000.0,560,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
6120,13158333.3,11500000,1658333.3,720,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1
3916,27540000.0,22300000,5240000.0,1450,3,1,1,1,1,0,1,1,1,0,1,0,0,1,1
5932,3845833.3,4000000,154166.7,300,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3229,20975000.0,19000000,1975000.0,890,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1
5882,12740000.0,12500000,240000.0,802,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1
3555,3742000.0,3500000,242000.0,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3921,27540000.0,21500000,6040000.0,1450,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1
5210,15283333.3,15500000,216666.7,850,2,0,1,1,1,0,1,1,1,1,0,0,1,1,1
1242,11615000.0,14000000,2385000.0,650,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0
