,predictions,actual,difference,Area,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
2974,60045000.0,60700000,655000.0,1234,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1
4716,28615000.0,22200000,6415000.0,890,2,1,1,1,0,0,0,1,0,1,0,0,1,0,0
6271,13425000.0,22500000,9075000.0,768,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1508,20499166.7,4500000,15999166.7,390,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
2978,54520000.0,54500000,20000.0,1142,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1
4701,25660000.0,22200000,3460000.0,926,2,1,1,1,0,0,0,1,0,1,0,0,1,0,0
5404,43350000.0,42500000,850000.0,1850,3,1,1,1,0,0,1,1,1,0,1,1,1,0,1
5634,21350000.0,21700000,350000.0,954,2,1,1,1,0,0,1,1,1,1,0,0,0,0,1
5200,21318409.1,21500000,181590.9,1350,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1
2369,19475000.0,17900000,1575000.0,750,2,1,1,1,1,0,1,1,1,0,0,0,0,1,1
6198,24075000.0,23000000,1075000.0,950,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2681,63935000.0,30000000,33935000.0,1792,3,0,1,1,1,0,1,1,1,0,1,0,0,1,1
4815,36325000.0,42600000,6275000.0,894,2,1,1,1,1,0,1,1,1,0,0,1,0,1,1
3233,47145000.0,36000000,11145000.0,1900,3,0,1,1,1,1,1,1,1,1,0,1,0,0,1
5205,22065000.0,19000000,3065000.0,900,2,1,1,1,0,0,0,0,1,0,0,0,1,0,1
3134,29070000.0,38000000,8930000.0,1350,2,0,1,1,0,0,1,1,1,1,1,1,0,0,1
2980,69360000.0,68100000,1260000.0,1418,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1
5780,16829166.7,15000000,1829166.7,650,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3718,24605000.0,25000000,395000.0,1100,2,0,1,1,0,0,0,1,1,1,1,0,1,0,1
1270,35630000.0,31200000,4430000.0,1470,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0
6001,31820000.0,46500000,14680000.0,1250,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1
2972,57330000.0,55400000,1930000.0,1179,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1
4818,66415000.0,62800000,3615000.0,1335,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1
5635,31819999.8,27799999,4020000.8,1274,3,1,1,1,0,0,1,1,1,1,0,0,0,0,1
3122,40566666.7,58000000,17433333.3,1500,3,1,1,1,1,0,1,1,1,1,0,1,0,1,1
2931,21530000.0,22200000,670000.0,930,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1
2979,66415000.0,65500000,915000.0,1344,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1
