,predictions,actual,difference,Area,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
5132,10225000.0,8400000,1825000.0,515,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3383,13062500.0,15000000,1937500.0,600,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2954,10425000.0,9000000,1425000.0,650,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0
2747,19950000.0,23500000,3550000.0,1100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2759,6135625.0,6500000,364375.0,400,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2789,17135000.0,22500000,5365000.0,935,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0
2594,10868750.0,11200000,331250.0,650,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3929,12449550.0,9000000,3449550.0,580,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1
2956,9880000.0,8200000,1680000.0,610,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6047,10512450.0,9700000,812450.0,560,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1
6292,18310000.0,19200000,890000.0,1150,2,0,1,1,0,0,0,1,0,1,0,0,1,0,0
3530,8046250.0,6900000,1146250.0,446,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
3597,13276666.7,13500000,223333.3,800,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
3595,10285000.0,7400000,2885000.0,600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3593,10227500.0,8750000,1477500.0,540,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1188,9810000.0,7500000,2310000.0,495,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5259,16245000.0,26100000,9855000.0,900,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0
2599,8849166.7,10000000,1150833.3,600,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2608,17675000.0,20000000,2325000.0,1000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2731,24900000.0,27500000,2600000.0,1500,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2962,24875000.0,21500000,3375000.0,1350,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0
6192,10960000.0,9500000,1460000.0,450,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
6027,18075000.0,20000000,1925000.0,925,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0
3608,9743333.3,7700000,2043333.3,590,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3598,10755000.0,9500000,1255000.0,650,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
3308,15240000.0,12000000,3240000.0,900,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1
3601,16120000.0,16800000,680000.0,1050,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2814,24600000.0,22500000,2100000.0,1250,3,0,1,1,0,0,0,1,0,1,0,0,1,0,0
5258,22285000.0,27500000,5215000.0,1000,3,0,1,1,0,0,0,1,1,1,0,0,1,0,0
2837,16160000.0,15200000,960000.0,680,2,1,1,1,0,0,0,1,0,1,0,0,1,0,0
3788,22650000.0,19000000,3650000.0,1140,3,0,0,1,0,0,0,1,0,1,0,0,1,0,0
5835,19625000.0,22500000,2875000.0,980,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0
