,predictions,actual,difference,Area,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
1748,11765000.0,9200000,2565000.0,1250,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0
3377,5010870.1,5600000,589129.9,560,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,5336666.7,4800000,536666.7,655,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
2046,8543750.0,9500000,956250.0,1120,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
4402,13470000.0,8588000,4882000.0,1130,2,1,1,1,1,1,1,0,1,1,1,1,0,1,1
6190,10988283.3,13000000,2011716.7,1050,2,1,1,1,1,0,0,1,1,1,1,1,0,1,1
1752,7520000.0,10500000,2980000.0,911,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0
2061,8420000.0,15000000,6580000.0,1050,2,0,1,1,1,1,1,1,1,1,1,0,0,1,0
91,18210166.7,17500000,710166.7,1760,3,0,1,1,1,1,1,1,1,0,1,0,0,1,1
3936,5422500.0,6400000,977500.0,670,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1
904,8870000.0,8200000,670000.0,1015,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0
403,5160000.0,3700000,1460000.0,550,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
72,15787500.0,15000000,787500.0,1685,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1
3315,9039900.0,9000000,39900.0,1060,2,0,1,1,0,0,0,1,1,1,0,0,0,0,1
819,7350000.0,6000000,1350000.0,850,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
880,12190000.0,11500000,690000.0,1227,2,0,1,1,1,0,1,0,0,0,1,0,0,0,1
1105,4510000.0,4300000,210000.0,650,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1
3961,8979950.0,8900000,79950.0,1065,2,0,1,1,0,0,0,1,1,1,0,0,0,0,1
813,4898333.3,6500000,1601666.7,650,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
4416,4807536.8,5500000,692463.2,585,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
816,5315000.0,5500000,185000.0,640,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
165,9715000.0,13000000,3285000.0,1455,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0
415,12310000.0,9400000,2910000.0,1240,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
1768,9010000.0,8000000,1010000.0,914,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0
2044,9387500.0,8500000,887500.0,1175,2,0,1,1,1,1,1,1,1,1,0,0,0,0,0
2079,6298583.3,6000000,298583.3,750,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1
690,11695666.7,10000000,1695666.7,1140,2,0,1,1,1,0,1,1,1,0,1,1,0,1,1
712,14170000.0,13300000,870000.0,1482,3,1,1,1,1,0,1,1,1,0,1,0,0,1,1
909,8665000.0,7900000,765000.0,1040,2,0,1,1,1,1,1,1,0,1,1,0,1,1,0
873,8235000.0,8500000,265000.0,1000,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0
96,13745000.0,15000000,1255000.0,1300,3,0,0,1,1,1,1,1,1,1,0,0,0,0,1
4389,7860000.0,9000000,1140000.0,1060,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
126,15787500.0,14000000,1787500.0,1687,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1
2040,9294950.0,8000000,1294950.0,1075,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
46,6527458.3,6000000,527458.3,740,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
6025,11100000.0,10000000,1100000.0,1234,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
906,6484125.0,5800000,684125.0,750,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
1349,7649375.0,7500000,149375.0,1000,2,0,1,1,1,1,1,1,1,0,1,0,0,1,1
98,12391666.7,9500000,2891666.7,1240,2,0,1,1,1,1,1,1,1,0,1,1,0,1,1
903,17646333.3,18500000,853666.7,1700,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
18,9658283.3,9300000,358283.3,1078,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
