,0
0,Kharghar
1,Sector-13 Kharghar
2,Sector 18 Kharghar
3,Sector 20 Kharghar
4,Sector 15 Kharghar
5,Dombivali
6,Churchgate
7,Prabhadevi
8,Jogeshwari West
9,Kalyan East
10,Malad East
11,Virar East
12,Virar
13,Malad West
14,Borivali East
15,Mira Road East
16,Goregaon West
17,Kandivali West
18,Borivali West
19,Kandivali East
20,Andheri East
21,Goregaon East
22,Wadala
23,Ulwe
24,Dahisar
25,kandivali
26,Goregaon
27,Bhandup West
28,thakur village kandivali east
29,Santacruz West
30,Kanjurmarg
31,I C Colony
32,Dahisar W
33,Marol
34,Parel
35,Lower Parel
36,Worli
37,Jogeshwari East
38,Chembur Shell Colony
39,Central Avenue
40,Chembur East
41,Diamond Market Road
42,Mulund
43,Nalasopara West
44,raheja vihar
45,Powai Lake
46,MHADA Colony 20
47,Tolaram Colony
48,Taloja
49,Thane West
50,Vangani
51,Sector 5 Ulwe
52,Sector12 New Panvel
53,Sector 17 Ulwe
54,Sector9 Kamothe
55,Sector 19 Kharghar
56,Navi Basti
57,Sector12 Kamothe
58,Sector 21 Kamothe
59,Rutu Enclave
60,taloja panchanand
61,Virar West
62,Chembur
63,Sector 20 Kamothe
64,Sector 22 Kamothe
65,Sector 18 Kamothe
66,Sector-5 Kamothe
67,Sector-6A Kamothe
68,Sector 11 Kamothe
69,Sector-18 Ulwe
70,Sector-12 Kamothe
71,azad nagar
72,Sindhi Society Chembur
73,Kurla
74,Sahkar Nagar
75,Deonar
76,Thane
77,Jankalyan Nagar
78,Badlapur
79,Ambarnath
80,Ambernath West
81,Vakola
82,Kamothe
83,Kamothe Sector 16
84,Almeida Park
85,Khar
86,Bandra West
87,Pali Hill
88,15th Road
89,Palghar
90,Sector13 Kharghar
91,Sector 21 Kharghar
92,Sector 12 Kharghar
93,Vivek Vidyalaya Marg
94,Vasai east
95,Nahur
96,Badlapur West
97,Panvel
98,Kalyan
99,Badlapur East
100,Mira Bhayandar
101,Juhu
102,Naigaon East
103,Sector 21 Ulwe
104,Bandra East
105,Dronagiri
106,Nerul
107,Karanjade
108,Sanpada
109,Sector-8 Ulwe
110,Sector-3 Ulwe
111,Sector 23 Ulwe
112,ULWE SECTOR 19
113,Ghodbunder Road
114,Bhiwandi
115,Vasai
116,Nala Sopara
117,Dadar East
118,Ghatkopar
119,Breach Candy
120,Worli South Mumbai
121,Asangaon
122,Koparkhairane Station Road
123,Kopar Khairane Sector 19A
124,Koper Khairane
125,Eastern Express Highway Vikhroli
126,Magathane
127,Rawal Pada
128,Ambernath East
129,Dokali Pada
130,Dattapada
131,Rajendra Nagar
132,Kulupwadi
133,Samata Nagar Thakur Village
134,Mira Road and Beyond
135,West Amardeep Colony
136,Pant Nagar
137,mumbai
138,Four Bungalows
139,no 9
140,kolshet
141,Hiranandani Meadows
142,Kalpataru
143,Petali
144,Kharghar Sector 34C
145,Ghatkopar East
146,Mumbai Agra National Highway
147,vasant vihar thane west
148,Kalyan West
149,Shirgaon
150,Pokhran 2
151,juhu tara
152,Peddar Road
153,Palm Beach
154,Sector 10
155,Sector 19 Kamothe
156,Tilak Nagar
157,Ghatkopar West
158,Tardeo
159,Napeansea Road
160,Mahalaxmi
161,Dahisar West
162,Mulund West
163,Natakwala Lane
164,Link Road
165,Devidas Cross Lane
166,Soniwadi Road
167,Haridas Nagar
168,Shimpoli
169,TPS Road
170,Off Shimpoli road
171,Rustomjee Global City
172,Sunil Nagar
173,Sector 30 Kharghar
174,Sector 12 A
175,Sector 18
176,Sector13 Khanda Colony
177,Sector16 Airoli
178,Ranjanpada
179,Sector 15
180,Sector 35G
181,Sector 5
182,Sector 35I Kharghar
183,Sector35D Kharghar
184,Sector34 A Kharghar
185,Sector 30
186,Sector 36 Kharghar
187,Sector 11 Belapur
188,Sector-34B Kharghar
189,Dombivali East
190,Roadpali
191,Sector-50 Seawoods
192,Mumbai Highway
193,Sector 7 Kharghar
194,Lokhandwala Township
195,Andheri
196,Andheri West
197,Shastri Nagar
198,Wadala East Wadala
199,Kalwa
200,PARSIK NAGAR
201,Maharashtra Nagar
202,Patlipada
203,Belapur
204,Seawoods
205,Majiwada
206,4 Bunglows
207,Airoli
208,Kolshet Road
209,Sector 10 Khanda Colony
210,Pokharan Road
211,Kharegaon
212,Panch Pakhadi
213,Sector 36 Kamothe
214,Dombivli (West)
215,DN Nagar Road
216,Godrej Hill
217,Ganesh Nagar
218,Haware City
219,Mahatma Gandhi Road
220,Akurli Nagar
221,Kasar vadavali
222,Vasai West
223,Mumbai Nashik Expressway
224,Katrap
225,Mira Road
226,Kasheli
227,Western Express Highway Kandivali East
228,Vasind
229,KASHELI
230,Thakurli
231,Shakti Nagar
232,Bhayandar East
233,Dahisar East
234,ulhasnagar 4
235,Sector-26 Taloja
236,Koproli
237,Mumbai Central
238,Greater Khanda
239,link road borivali west
240,Manpada
241,Sector 2 Ulwe
242,Govind nagar
243,Krishanlal Marwah Marg
244,Sector-9 Ulwe
245,Vikhroli
246,Kalamboli
247,Lokhandwala
248,Patel Nagar
249,Yari Road
250,Thakur complex
251,Khar West
252,Sector 11 Kharghar
253,Ghansoli
254,Sector8 Sanpada
255,Jeejamata Nagar
256,Pandurangwadi
257,Shreyas Colony
258,Kannamwar Nagar II
259,gokuldham
260,Bangur Nagar
261,Shivaji Colony
262,Jawahar Nagar
263,Vedant Complex
264,Titwala
265,Manvel pada Road
266,Govandi
267,Shilphata Road Thane
268,Vasant Vihar
269,Thakur Village
270,Samata nagar
271,Wadi Bandar
272,Kapurbawadi
273,Thane Belapur Road Kalwa
274,Suburbs Mumbai
275,Ramdev Park
276,Sector-35 Kamothe
277,Sector 58A Seawoods Navi Mumbai
278,Diva
279,Borivali
280,Gundavali Gaothan
281,Kondivita Road
282,Koldongri
283,Saki Naka
284,Bhayandar West
285,Versova
286,Hanuman Nagar
287,worli sea face 
288,Sea Face
289,Shiv Sagar Estate
290,Grant Road West
291,Sriprastha
292,Off Nepean Sea Road
293,Morya Nagar
294,Upper Worli
295,worli sea Fase
296,Powai
297,Agripada
298,Sion
299,Girgaon
300,IT Colony
301,Bhayandarpada
302,Sector-24 Kamothe
303,Phase 2
304,Sector 6
305,Malad
306,Haji Ali
307,Majiwada thane
308,Yogi Hills
309,Sector 19 Nerul
310,Owale
311,MG Road
312,roadpali navimumbai
313,Taloja Bypass Nitalas Link Road
314,Rasayani
315,Sector 10 Kamothe
316,kavesar
317,Kopara
318,royal palms goregaon east
319,Dadar West
320,vrindavan society
321,CBD Belapur East
322,Parel Village
323,Karave Nagar
324,Sector 19A Nerul
325,Antop Hill
326,Suman Nagar
327,Bhakti Park
328,Hanuman Chowk
329,Willingdon
330,VishnuNagar
331,Vichumbe
332,Vashi
