,predictions,actual,difference,Area,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
6084,15775000.0,13799999,1975001.0,1000,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2522,3070500.0,2300000,770500.0,225,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3659,15894999.9,12900000,2994999.9,1125,2,1,1,1,0,0,0,0,0,1,0,0,1,0,0
5272,15840000.0,16800000,960000.0,733,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5605,9465000.0,10000000,535000.0,750,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
2670,4631666.7,6500000,1868333.3,365,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6083,9575000.0,9300000,275000.0,600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5604,9340000.0,10000000,660000.0,750,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1
5814,14495000.0,18000000,3505000.0,950,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1
2518,3231666.7,2800000,431666.7,200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5304,2914708.3,2900000,14708.3,225,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2666,8715000.0,9500000,785000.0,640,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6223,9020000.0,9400000,380000.0,650,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1
2476,15039999.7,15200000,160000.3,1140,2,0,1,1,1,0,1,1,1,1,1,1,0,1,1
2520,2912625.0,2900000,12625.0,220,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5899,8519899.9,7800000,719899.9,700,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1
3673,14684666.3,14900000,215333.7,1050,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1
5612,8940000.0,8800000,140000.0,980,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1
6196,9340000.0,9500000,160000.0,750,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
235,15165000.0,15200000,35000.0,1170,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1
2695,17329999.9,14500000,2829999.9,1125,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5651,15944999.3,16200000,255000.7,727,2,1,1,1,1,0,1,1,1,0,1,1,0,1,1
5649,16259999.8,15300000,959999.8,688,2,1,1,1,1,0,1,1,1,0,1,1,0,1,1
2578,9225000.0,9800000,575000.0,600,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2450,15775000.0,16299999,524999.0,742,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1
5425,4719166.7,4800000,80833.3,350,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
