,predictions,actual,difference,Area,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
6137,6335700.0,6450000,114300.0,426,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
3268,5564900.0,5800000,235100.0,700,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
2478,8659450.0,6700000,1959450.0,950,2,0,0,1,1,0,0,1,0,1,0,0,1,0,0
3945,7731799.8,7450000,281799.8,956,2,0,1,1,1,1,0,1,1,1,1,1,0,0,1
2902,9156300.0,8600000,556300.0,1026,2,1,1,1,0,0,1,1,1,1,1,0,1,1,1
5896,8680000.0,7600000,1080000.0,975,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0
6016,7771450.0,7800000,28550.0,960,2,1,1,1,1,0,0,1,1,1,1,0,1,0,0
2910,5896883.3,5600000,296883.3,788,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0
3867,9612500.0,8500000,1112500.0,1150,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0
5097,4633150.0,4500000,133150.0,565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2912,8860000.0,7700000,1160000.0,1046,2,1,1,1,0,0,0,1,1,1,0,0,1,0,0
4184,5066666.7,4500000,566666.7,600,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
6135,8087374.9,7800000,287374.9,534,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
5223,4551666.7,4100000,451666.7,530,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4213,10438500.0,11200000,761500.0,542,2,1,1,1,0,0,0,1,1,0,0,1,0,1,1
635,5423500.0,4200000,1223500.0,750,2,0,1,1,1,1,1,0,1,0,0,0,0,0,0
4195,8731233.3,6500000,2231233.3,1050,2,0,1,1,1,0,1,1,1,1,0,0,0,1,1
2373,5959300.0,5330000,629300.0,715,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4570,8087374.9,8000000,87374.9,534,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
2905,7793949.4,7800000,6050.6,1010,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
2918,8515099.9,7800000,715099.9,1010,2,0,0,1,1,0,0,1,0,1,1,0,1,0,0
2352,5712550.0,5600000,112550.0,700,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1
2454,4338200.0,3500000,838200.0,360,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4762,7698999.9,7500000,198999.9,875,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0
5294,8155500.0,7000000,1155500.0,900,2,1,1,1,0,0,0,1,1,1,0,1,0,0,0
2924,5984950.0,5700000,284950.0,770,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
624,6894650.0,7400000,505350.0,400,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0
637,4368000.0,3500000,868000.0,565,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
4572,6335700.0,7020000,684300.0,426,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
6337,11180000.0,10800000,380000.0,1180,2,1,1,1,1,0,1,1,1,1,1,1,0,1,0
3059,8246000.0,6700000,1546000.0,950,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0
4746,5445200.0,5250000,195200.0,650,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
