,predictions,actual,difference,Area,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
5327,19400000.0,15500000,3900000.0,910,2,0,1,1,1,0,0,1,1,1,0,0,1,0,1
5179,13211666.7,13500000,288333.3,650,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1
5057,32690000.0,33100000,410000.0,928,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
5058,22025000.0,21800000,225000.0,642,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
3554,25825000.0,26500000,675000.0,1450,3,0,1,1,1,0,0,1,1,1,0,0,1,0,1
5298,10656333.3,2500000,8156333.3,310,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5387,20623333.3,23500000,2876666.7,1444,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1
3564,17545000.0,17500000,45000.0,978,2,0,1,1,1,0,1,1,1,1,1,0,1,1,1
3248,21910000.0,27000000,5090000.0,1100,2,0,1,1,1,0,1,0,1,1,1,0,0,1,1
4321,18197500.0,19500000,1302500.0,1150,2,0,0,1,0,0,0,1,1,1,0,0,1,0,0
5187,19050000.0,20000000,950000.0,1000,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1
5178,19095000.0,20000000,905000.0,1120,2,0,1,1,1,1,1,1,1,1,1,0,1,0,1
2304,38775000.0,26500000,12275000.0,1500,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
5070,28170000.0,27900000,270000.0,744,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
5177,12288333.3,10500000,1788333.3,585,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
3951,20148333.3,13500000,6648333.3,500,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1
3846,14320000.0,11399999,2920001.0,650,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1
5061,34215000.0,37800000,3585000.0,1094,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
5152,17630416.7,18500000,869583.3,1150,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1
5184,25967500.0,23500000,2467500.0,1300,3,0,1,1,0,0,0,1,1,1,0,0,1,0,1
6004,17823000.0,16000000,1823000.0,970,2,0,1,1,1,0,1,1,1,1,1,0,1,1,1
1005,9152999.9,2900000,6252999.9,700,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
4386,10656333.3,5000000,5656333.3,225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5195,20595000.0,27500000,6905000.0,916,2,0,1,1,1,1,1,1,1,1,0,1,1,1,1
5189,20641666.7,22000000,1358333.3,985,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1
5192,22610000.0,28500000,5890000.0,1150,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
