,predictions,actual,difference,Area,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
5687,11250000.0,11500000,250000.0,950,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2421,11993725.0,12600000,606275.0,850,2,1,1,1,0,0,0,1,0,1,0,0,0,0,1
5859,5864750.0,4299000,1565750.0,615,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1
2645,11220500.0,12700000,1479500.0,1050,2,1,1,0,0,0,0,0,1,1,1,1,0,1,1
3286,14405000.0,11900000,2505000.0,1020,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
4610,5584950.0,5800000,215050.0,472,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1
4131,17085000.0,20500000,3415000.0,1251,3,1,1,1,0,0,0,1,1,1,0,0,0,0,1
4621,13193749.9,16600000,3406250.1,706,2,1,1,1,1,0,1,1,1,0,1,1,0,1,1
1785,12622050.0,13500000,877950.0,995,2,1,1,1,1,0,0,1,0,1,0,0,0,0,1
3515,8327888.4,10900000,2572111.6,876,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
4624,10419649.6,12600000,2180350.4,519,2,1,1,1,1,0,1,1,1,0,1,1,0,1,1
5860,9625599.6,5999000,3626599.6,905,2,0,1,1,1,0,1,1,1,1,1,0,1,1,1
3663,10761500.0,9620000,1141500.0,1160,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1
2605,17730000.0,15500000,2230000.0,1300,3,0,1,1,0,0,0,1,1,1,0,0,1,0,1
4770,12545000.0,17700000,5155000.0,984,3,1,1,1,1,1,1,1,1,1,1,0,0,0,1
2667,4023267.8,6000000,1976732.2,350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4599,5465300.0,4500000,965300.0,450,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0
