,predictions,actual,difference,Area,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
5766,10319850.0,14500000,4180150.0,1100,2,0,1,1,1,0,1,1,1,0,1,0,0,1,1
2430,8651570.0,6498999,2152571.0,945,2,0,1,1,1,0,0,1,1,1,1,1,0,1,1
5860,7911456.7,5999000,1912456.7,905,2,0,1,1,1,0,1,1,1,1,1,0,1,1,1
2646,12670000.0,13000000,330000.0,1150,3,0,1,1,0,0,0,1,1,1,1,0,1,0,1
3287,22409999.8,20800000,1609999.8,1214,3,1,1,0,0,0,0,0,0,0,0,1,0,1,0
4611,19750000.0,10000000,9750000.0,1200,3,0,1,1,1,0,1,1,1,1,0,1,0,1,1
4169,17219999.9,14500000,2719999.9,1450,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4622,15065000.0,28000000,12935000.0,1091,3,1,1,1,1,0,1,1,1,0,1,1,0,1,1
1832,14070000.0,13500000,570000.0,1140,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
3517,13355000.0,14000000,645000.0,1137,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
4741,8575647.7,13000000,4424352.3,940,2,0,0,1,1,1,1,1,1,1,0,0,0,0,1
5861,9689500.0,5999000,3690500.0,902,2,0,1,1,1,0,0,1,1,1,1,1,0,1,1
3666,12671550.0,11200000,1471550.0,1060,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1
2606,12005000.0,9709000,2296000.0,1022,2,0,1,1,0,0,0,1,0,1,0,0,1,0,0
4771,11340000.0,13000000,1660000.0,725,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1
2717,8651570.0,5999000,2652570.0,945,2,0,1,1,1,0,0,1,1,1,1,1,0,1,1
4600,12325000.0,11800000,525000.0,850,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
926,5209400.0,8000000,2790600.0,640,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
6048,12314950.0,13700000,1385050.0,663,2,1,1,1,1,0,0,0,1,0,0,1,0,0,1
5809,21115000.0,20299999,815001.0,991,3,1,1,1,1,0,0,0,1,0,0,1,0,0,1
6075,12614250.0,14600000,1985750.0,850,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5393,14625000.0,24000000,9375000.0,1500,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3238,10518000.0,13300000,2782000.0,1158,2,1,1,1,0,0,0,1,1,1,0,0,0,0,1
4016,10114500.0,9000000,1114500.0,900,2,0,1,1,0,0,0,1,1,1,1,1,0,1,1
1249,10679000.0,11700000,1021000.0,1150,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1
4624,11804749.8,12600000,795250.2,519,2,1,1,1,1,0,1,1,1,0,1,1,0,1,1
6250,7049950.0,4350000,2699950.0,660,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4562,2899432.7,2800000,99432.7,324,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1
2725,4845133.3,4399000,446133.3,615,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1
2407,9095000.0,9600000,505000.0,900,2,0,1,1,1,0,1,0,1,0,0,0,0,0,1
3733,15615000.0,15200000,415000.0,1490,3,1,1,1,0,0,0,1,1,1,0,0,1,0,1
875,5542050.0,6990000,1447950.0,473,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
5908,14420000.0,15100000,680000.0,957,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
3547,8913000.0,11800000,2887000.0,984,2,1,1,1,0,0,0,1,1,1,0,0,0,0,1
927,5693750.0,7200000,1506250.0,657,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1
2644,6899900.0,7500000,600100.0,685,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
4061,22190000.0,13000000,9190000.0,1730,3,0,1,1,1,1,1,1,1,1,1,0,1,0,0
3524,9485000.0,11000000,1515000.0,1000,2,1,1,1,0,0,0,1,1,1,0,0,0,0,1
3865,6140000.0,5300000,840000.0,500,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1
3660,10413000.0,9520000,893000.0,1140,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1
2623,10005000.0,9900000,105000.0,826,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1
3553,9516000.0,8400000,1116000.0,1020,2,1,1,1,0,0,0,1,1,1,1,0,0,0,1
4247,9950000.0,12700000,2750000.0,1190,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1
5475,5067600.0,4300000,767600.0,375,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1
2482,14615000.0,14900000,285000.0,883,2,1,0,1,0,0,0,1,0,0,1,1,0,1,0
5959,6260000.0,8500000,2240000.0,450,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4550,6833833.3,4400000,2433833.3,560,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1
3020,18705000.0,17500000,1205000.0,1775,3,1,1,1,0,0,0,1,1,1,0,0,0,1,1
2788,9736000.0,8800000,936000.0,1100,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1
4552,6357125.0,4500000,1857125.0,561,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1
4997,13655000.0,15900000,2245000.0,798,2,1,1,1,0,0,0,0,0,0,1,1,0,0,0
4590,2743135.6,2940000,196864.4,324,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1
2484,15176450.0,15700000,523550.0,928,2,1,0,1,0,0,0,1,0,0,1,1,0,1,0
4610,5884500.0,5800000,84500.0,472,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1
2870,10513000.0,10800000,287000.0,1260,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1
6110,9505000.0,10500000,995000.0,956,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1
1250,5827650.0,5300000,527650.0,650,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1
5076,7911456.7,6000000,1911456.7,905,2,0,1,1,1,0,1,1,1,1,1,0,1,1,1
3972,11081199.6,15800000,4718800.4,848,2,1,1,1,1,0,1,1,1,0,1,0,0,1,1
4018,10295000.0,8200000,2095000.0,1065,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
6253,10871999.8,14600000,3728000.2,850,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1
4521,2743135.6,2640000,103135.6,324,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1
3504,20060000.0,12900000,7160000.0,1860,3,1,1,1,1,0,1,1,1,1,0,1,0,1,1
2880,10413000.0,13100000,2687000.0,1140,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1
5092,6920500.0,6300000,620500.0,550,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1
3872,9902500.0,11200000,1297500.0,1130,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1
2763,9282500.0,8700000,582500.0,705,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1
3973,23070000.0,22000000,1070000.0,1234,3,1,1,1,1,0,1,1,1,0,1,0,0,1,1
3969,13020000.0,13000000,20000.0,713,2,1,1,1,1,0,1,1,1,0,1,0,0,1,1
6128,5827650.0,7500000,1672350.0,650,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1
3519,5343500.0,5700000,356500.0,486,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0
4563,2743135.6,3100000,356864.4,324,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1
2604,6588000.0,7300000,712000.0,570,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5804,13038750.0,16399999,3361249.0,808,2,1,1,1,1,0,0,0,1,0,0,1,0,0,1
4565,2743135.6,2900000,156864.4,324,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1
2639,7292500.0,6000000,1292500.0,520,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1
984,20240000.0,16500000,3740000.0,1250,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0
5800,2871362.5,2599000,272362.5,334,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1
4755,11425000.0,7500000,3925000.0,962,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1850,10039050.0,9958000,81050.0,1011,2,1,1,1,1,0,1,1,1,0,1,0,0,1,1
3491,12549899.9,15400000,2850100.1,711,2,1,1,1,0,0,0,1,1,1,0,0,0,0,1
